File name : File_VRP2_200000.txt
Number of vertex : 11
--- Vertex --- 
0 nice
1 marseille
2 toulouse
3 bordeaux
4 montpellier
5 rennes
6 nantes
7 lille
8 strasbourg
9 lyon
10 paris
--- Edges --- 
0 0 1 157,81
1 0 2 468,55
2 0 3 635,49
3 0 4 271,39
4 0 5 845,99
5 0 6 790,14
6 0 7 833,88
7 0 8 544,97
8 0 9 297,99
9 0 10 686,97
10 1 2 320,42
11 1 3 505,07
12 1 4 125,3
13 1 5 764,44
14 1 6 695,96
15 1 7 835,23
16 1 8 616,44
17 1 9 277,36
18 1 10 661,94
19 2 3 210,49
20 2 4 197,5
21 2 5 554,4
22 2 6 465,16
23 2 7 792,61
24 2 8 738,09
25 2 9 361,23
26 2 10 589,72
27 3 4 380,59
28 3 5 371,77
29 3 6 275,98
30 3 7 700,4
31 3 8 759,13
32 3 9 435,75
33 3 10 499,96
34 4 5 659,52
35 4 6 584,88
36 4 7 785,37
37 4 8 629,75
38 4 9 252
39 4 10 597,38
40 5 6 96,99
41 5 7 446,15
42 5 8 699,88
43 5 9 559,25
44 5 10 309,54
45 6 7 508,4
46 6 8 710,06
47 6 9 515,86
48 6 10 342,7
49 7 8 407,57
50 7 9 558,32
51 7 10 204,12
52 8 9 383,74
53 8 10 398,09
54 9 10 393,25
