File name : File_VRP2_150000.txt
Number of vertex : 17
--- Vertex --- 
0 nice
1 marseille
2 dijon
3 toulouse
4 bordeaux
5 montpellier
6 rennes
7 grenoble
8 saint-etienne
9 nantes
10 reims
11 lille
12 strasbourg
13 lyon
14 paris
15 havre
16 toulon
--- Edges --- 
0 0 1 157,81
1 0 2 438,64
2 0 3 468,55
3 0 4 635,49
4 0 5 271,39
5 0 6 845,99
6 0 7 203,74
7 0 8 297,15
8 0 9 790,14
9 0 10 665,06
10 0 11 833,88
11 0 12 544,97
12 0 13 297,99
13 0 14 686,97
14 0 15 843,72
15 0 16 124,71
16 1 2 448,39
17 1 3 320,42
18 1 4 505,07
19 1 5 125,3
20 1 6 764,44
21 1 7 209,93
22 1 8 250,21
23 1 9 695,96
24 1 10 670,7
25 1 11 835,23
26 1 12 616,44
27 1 13 277,36
28 1 14 661,94
29 1 15 798,83
30 1 16 49,43
31 2 3 499,34
32 2 4 511,99
33 2 5 423,09
34 2 6 508,99
35 2 7 245,33
36 2 8 214,94
37 2 9 496,02
38 2 10 227,2
39 2 11 395,71
40 2 12 247,79
41 2 13 173,93
42 2 14 262,65
43 2 15 434,94
44 2 16 473,03
45 3 4 210,49
46 3 5 197,5
47 3 6 554,4
48 3 7 382,74
49 3 8 311,57
50 3 9 465,16
51 3 10 659,73
52 3 11 792,61
53 3 12 738,09
54 3 13 361,23
55 3 14 589,72
56 3 15 664,25
57 3 16 368,12
58 4 5 380,59
59 4 6 371,77
60 4 7 495,86
61 4 8 395,65
62 4 9 275,98
63 4 10 602,66
64 4 11 700,4
65 4 12 759,13
66 4 13 435,75
67 4 14 499,96
68 4 15 522,18
69 4 16 554,48
70 5 6 659,52
71 5 7 227,34
72 5 8 208,16
73 5 9 584,88
74 5 10 629,06
75 5 11 785,37
76 5 12 629,75
77 5 13 252
78 5 14 597,38
79 5 15 716,56
80 5 16 174,42
81 6 7 651,87
82 6 8 549,53
83 6 9 96,99
84 6 10 439,77
85 6 11 446,15
86 6 12 699,88
87 6 13 559,25
88 6 14 309,54
89 6 15 206,44
90 6 16 810,2
91 7 8 107,28
92 7 9 604,39
93 7 10 472,01
94 7 11 639,76
95 7 12 410,56
96 7 13 94,95
97 7 14 484,18
98 7 15 640,05
99 7 16 228,86
100 8 9 498,45
101 8 10 425,77
102 8 11 587,28
103 8 12 433,06
104 8 13 49,96
105 8 14 411,94
106 8 15 554,81
107 8 16 285,36
108 9 10 471,67
109 9 11 508,4
110 9 12 710,06
111 9 13 515,86
112 9 14 342,7
113 9 15 283,02
114 9 16 743,26
115 10 11 168,84
116 10 12 281,8
117 10 13 393,34
118 10 14 130,63
119 10 15 284,01
120 10 16 698,22
121 11 12 407,57
122 11 13 558,32
123 11 14 204,12
124 11 15 244,61
125 11 16 864,53
126 12 13 383,74
127 12 14 398,09
128 12 15 564,83
129 12 16 624,58
130 13 14 393,25
131 13 15 545,84
132 13 16 306,66
133 14 15 175,96
134 14 16 696,8
135 15 16 838,38
